answer,clue
ABELL,"""___ for Adano"""
ABELS,Spy Rudolf and others
ABEND,"V.S. Naipaul's ""___ in the River"""
ABENT,Has ___ for (is naturally skilled at)
ABER,"But, in Bonn"
ABES,Justice Fortas and others
ABET,Help
ABETS,"Looks out for, maybe"
ABFAB,Former sitcom on the Beeb
ABHOR,Can't take
ABID,Put ___ on (go for at auction)
ABIDE,Bear patiently
ABIE,"Harry Hershfield comic ""___ the Agent"""
ABIES,"""___ Irish Rose"""
ABIG,"""...and carry ___ stick"""
ABIND,In ___ (stuck)
ABIRD,Eat like ___
ABIT,Rather
ABITE,Grab ___ (eat on the run)
ABLE,Competent
ABLER,More fit
ABLUR,Moving too quickly to be seen clearly
ABLY,Skillfully
ABM,Defense syst.
ABMS,"Some military defenses, for short"
ABNER,Baseball's Doubleday
ABO,Typing system
ABOAT,"""Three Men in ___"" (Jerome K. Jerome novel)"
ABODE,Home
ABOIL,Bubbling over
ABOLT,Like ___ from the blue
ABOMB,"Manhattan Project project, informally"
ABONE,Have___to pick
ABOO,Bug chaser?
ABOOK,Know like ___
ABORC,Multiple-choice options
ABORT,"Cancel, as a launch"
ABOU,"""___ Ben Adhem"""
ABOUT,Circa
ABOVE,Greater than
ABOVO,"From the beginning, in Latin"
ABOW,"""Take ___"" (1994 Madonna hit)"
ABOX,In ___ (confined)
ABOY,"Johnny Cash's ""___ Named Sue"""
ABRA,"""East of Eden"" girl"
ABRAM,Garfield's middle name
ABRI,Shelter dug into a hillside
ABRIL,Spanish month that anagrams to a zodiac sign
ABRIM,Almost spilling over
ABS,"Belly muscles, for short"
ABT,German composer Franz
ABU,Aladdin's monkey sidekick
ABUG,"""Snug as ___..."""
ABUJA,City that replaced Lagos as Nigeria's capital
ABUSE,Mistreat
ABUT,Appear alongside
ABUTS,Borders
ABUZZ,Full of activity
ABYSM,Deep cavity
ABYSS,Gaping hole
ABZUG,Bella of 1970s politics
AC/DC,Rock group from Sydney
ACA,"Signature Obama legislation, in brief"
ACAB,"Hail ___ (cry ""Taxi!"")"
ACAD,Uniform locale: Abbr.
ACADS,Schools for cadets: Abbr.
ACAI,Kind of palm tree in Central and South America
ACALL,Place ___
ACAN,Open ___ of worms
ACAP,Put ___ on (limit)
ACAR,Rent-___ (Hertz or Avis)
ACARD,"""Pick ___ ..."""
ACARE,Without ___ in the world
ACASE,Make ___ for (argue in support of)
ACAST,"""...with ___ of thousands!"" (Hollywood hype)"
ACAT,Room to swing ___
ACC,Univ. of Md. competes in it
ACCEL,"Gradually faster, in mus."
ACCRA,Ghana's capital
ACCT,Saver's bank holding: Abbr.
ACCTS,Places to keep 9-Down: Abbr.
ACDC,"Flexible, electrically"
ACE,It's not returnable
ACED,Served past
ACEH,Banda ___ (2004 Indonesian tsunami site)
ACEIN,___ the hole
ACEIT,Do really well on a test
ACELA,Amtrak speedster
ACENT,Without___to one's name
ACEOF,___ spades (highest card in a deck)
ACER,Court whiz
ACERB,Bitter
ACERS,Quick scorers on the court
ACES,Tennis statistic
ACETO,Vinegar: Prefix
ACEY,___-deucey (card game)
ACH,4-Down exclamation
ACHE,Harbinger of tooth trouble
ACHED,Hurt so bad
ACHER,Bengay user
ACHES,Symptoms of rheumatism
ACHIP,Like ___ off the old block
ACHOO,Cause for a blessing
ACHS,German exclamations
ACHT,Number after sieben
ACHY,"""___ Breaky Heart"" (1992 hit)"
ACI,"Handel's ""___, Galatea e Polifemo"""
ACID,Boric ___
ACIDS,They're not basic things
ACIDY,Like some upset stomachs
ACING,Hitting a point of no return?
ACIS,Galatea's beloved
ACITY,"""Just ___ boy, born and raised in South Detroit"" (lyric from ""Don't Stop Believin'"")"
ACK,"Relative of ""Oh, no!"""
ACL,Kind of tear for an athlete
ACLAM,Happy as ___
ACLEF,Roman ___
ACLU,Free speech supporter: Abbr.
ACLUE,"""I haven't ___"""
ACME,Very top
ACMES,Topmost points
ACNE,Teen worry
ACNED,Pimply
ACNES,Teen skin ailments
ACOAT,"""___ of Varnish"" (C. P. Snow novel)"
ACOG,Slip ___ (blunder)
ACOIN,Flip ___ (decide randomly)
ACOLD,"""Feed ___, starve ..."""
ACOMA,Historic pueblo near Albuquerque
ACOOL,"""___ Million"" (Nathanael West novel)"
ACOP,"""Rent-___"""
ACORN,"Oak, in a nutshell?"
ACOST,At ___ (with repercussions)
ACOW,Have ___ (lose it)
ACR,Down's counterpart: Abbr.
ACRE,"One of 100 in a ""Winnie-the-Pooh"" wood"
ACRED,Owning lots of land
ACRES,Fields are measured in them
ACRID,Pungent
ACRO,Onset of phobia?
ACRY,"Streep's ""___ in the Dark"""
ACS,Temp. reducers
ACT,Enter the picture?
ACTA,Recorded proceedings
ACTAS,Represent
ACTE,Part of a French opera
ACTED,Trod the boards
ACTER,See 13-Down
ACTH,Pituitary hormone
ACTI,Play opening
ACTII,When Romeo sees Juliet on the balcony
ACTIN,Be part of the cast of
ACTIV,"When Antony says ""I am dying, Egypt, dying"""
ACTO,Part of a Spanish play
ACTOF,Words preceding war or God
ACTON,"Follow, as a lead"
ACTOR,Thespian
ACTS,Doesn't hesitate
ACTSA,___ part (role-plays)
ACTSO,"""Don't ___ dumb"""
ACTUP,Make a nuisance of oneself
ACTV,When Brutus dies
ACU,Prefix with pressure or puncture
ACUE,Take ___ from
ACUFF,Roy of country music
ACUP,Bra size
ACURA,"Integra maker, formerly"
ACURE,"""Dedicated to finding ___"" (diabetes foundation motto)"
ACUT,___ above
ACUTE,Very perceptive
ADA,Toothpaste tube letters
ADAB,Not much at all
ADAGE,Bit of wisdom
ADAH,Wife of Esau
ADAIR,Robin of balladry
ADAK,Aleutian island
ADALE,Allan-___
ADAM,Name first encountered in Genesis 2
ADAMA,"Olmos's ""Battlestar Galactica"" role"
ADAME,"""There Is Nothin' Like ___"""
ADAMN,What Rhett Butler didn't give
ADAMS,President after Washington
ADANA,Turkish province or its capital
ADANO,Fictional village visited by Major Joppolo
ADAPT,"Turn from a book into a movie, say"
ADAR,Month after Shevat
ADARE,Antarctic cape
ADARK,"""It was ___ and stormy night ..."""
ADARN,"""I don't give ___!"""
ADARS,Jewish months
ADAS,Some prosecutors: Abbr.
ADASH,"Not much, as of salt"
ADATE,"""It's ___!"""
ADAY,What you may call it when you're wiped out
ADAYS,All in ___ work
ADAZE,In ___ (befuddled)
ADBIZ,Madison Ave. industry
ADC,General's assistant: Abbr.
ADD,Tack on
ADDA,"""___ pinch of salt..."""
ADDED,V*T
ADDER,Viper
ADDIE,Hall-of-Fame pitcher Joss
ADDIN,Contribute
ADDIS,___ Ababa
ADDIT,"""___ to the list"""
ADDL,Extra: Abbr.
ADDLE,Confuse
ADDME,Snapchatter's request
ADDN,Wing: Abbr.
ADDON,"Codicil, e.g."
ADDR,"P.O. box, e.g."
ADDS,Throws into the mix
ADDTO,Toss in
ADDUP,Make sense
ADE,Punch's cousin
ADEAD,"""You're ___ duck!"""
ADEAF,Turn ___ ear
ADEAL,"Hall's ""Let's Make ___"""
ADEAR,"""You're such ___ for helping"""
ADEE,Ending with chick
ADEEP,Take ___ breath
ADEER,"""Doe, ___..."" (song lyric)"
ADELA,Journalist ___ Rogers St. Johns
ADELE,"Singer with the hit albums ""19"" and ""21"""
ADEN,Port near Ta'izz
ADENI,Certain Arabian Peninsula native
ADENO,Gland: Prefix
ADENT,Make ___ in
ADEPT,Pro
ADES,Thirst quenchers
ADEUX,"For two, in music"
ADFEE,Charge to appear in a magazine
ADHD,"What Ritalin helps treat, for short"
ADHEM,"Hunt's ""Abou Ben ___"""
ADHOC,Opposite of standing
ADIA,"""___, I do believe I failed you"" (opening of a 1998 hit)"
ADIET,"Cutting down, after ""on"""
ADIEU,Parisian goodbye
ADIG,Take ___ at (insult)
ADIGE,Verona's river
ADIM,Take ___ view of
ADIME,"""...can you spare ___?"""
ADIN,Situation after deuce
ADINS,Serving edges
ADIOS,"""See ya!"""
ADIP,Took ___ (went swimming)
ADIT,Mine entrance
ADITS,Mining tunnels
ADJ,Dictionary abbr.
ADJS,"Sm., med. and lg., e.g."
ADJT,Mil. staff officer
ADL,B'nai B'rith watchdog org.
ADLAI,1890s vice president Stevenson
ADLER,Psychotherapist Alfred
ADLIB,Wing it
ADM,Mil. rank established by Cong. in 1862
ADMAN,"Pitch deliverer, perhaps"
ADMEN,Pitchers?
ADMIN,"Business operations, informally"
ADMIT,___ one
ADMIX,Blend
ADMS,U.S.N. bigwigs
ADO,"""Without further ___ ..."""
ADOBE,Pueblo dwelling
ADOBO,Spanish marinade
ADOG,"1985 film ""My Life as ___"""
ADOLF,Moe parodied him in some W.W. II-era Three Stooges shorts
ADOLL,"""Be ___..."""
ADOPE,"Ali's ""rope-___"""
ADOPT,Vote to accept
ADORE,Worship
ADORN,Deck out
ADOS,Flaps
ADOSE,Give ___ of reality
ADOT,"""Poke-___!"" (kids' book series)"
ADOUT,Opportunity for a service break
ADOZE,Napping
ADP,Payroll service co.
ADRAG,"""What ___ it is getting old"" (Rolling Stones lyric)"
ADRAW,End in ___ (not be resolved)
ADREM,"Relevant, in law"
ADREP,"Seller of TV and magazine spots, informally"
ADRIP,Soaking wet
ADRUM,Tight as ___
ADRY,Not ___ eye in the house
ADS,Spots before your eyes?
ADT,Big inits. in security
ADU,Soccer phenom Freddy
ADUE,Musical direction
ADUEL,Challenge to ___
ADULT,"Full-price payer, at an amusement park"
ADV,Now or never: Abbr.
ADVIL,Popular pain reliever
ADVT,Paid promotion: Abbr.
ADWAR,"*Mac-vs.-PC during the early 2000s, e.g."
ADZ,Timberjack?Æs tool
ADZE,Axlike tool
ADZES,Trimming tools
AEC,Early nuclear org.
AEDES,Dreaded mosquito
AEF,W.W. I body: Abbr.
AEGIS,Sponsorship
AEIOU,"""Wheel of Fortune"" purchases"
AEON,"Long, long time"
AEONS,Near eternity
AER,___ Lingus
AEREO,Correo ___ (Spanish airmail)
AERI,Gas: Prefix
AERIE,Cliff house
AERO,Prefix with space
AEROS,"Planes, old-style"
AERY,Unsubstantial
AES,He hoped to succeed H.S.T.
AESIR,Group of gods led by Odin
AESOP,"""The Two Pots"" storyteller"
AETAT,"At the age of: Lat., abbr."
AETNA,Blue Cross competitor
AFACE,"""The Man Without ___"" (1993 film)"
AFACT,"""Is that ___?"""
AFAIR,"""That's ___ question"""
AFALL,"Pride precedes it, they say"
AFAN,"Picasso's ""Lady With ___"""
AFAR,Come from ___
AFAST,Make ___ buck
AFAT,"""... to buy ___ pig"""
AFATE,___ worse than death
AFB,Andrews in Md.
AFBS,Place for B-2s and B-52s: Abbr.
AFC,Football playoff grp.
AFEE,Without ___ (pro bono)
AFEW,Three or four
AFFIX,"Add-on to the start or end of a word stem (as in 17-, 25-, 35-, 49- and 57-Across)"
AFI,"""100 Years ... 100 Movies"" org."
AFIG,Not care ___ for
AFILE,Have ___ on (monitor officially)
AFINE,Walk ___ line
AFIRE,In flames
AFISH,Like ___ out of water
AFIT,In ___ of anger
AFL,Samuel Gompers's org.
AFLAC,Big name in insurance
AFLAT,"Schubert's ""Mass in ___ major"""
AFLEA,Put ___ in one's ear
AFLOW,"Running, poetically"
AFLY,___ in the ointment
AFOE,"""___ to tyrants, and my country's friend"" (words of Cato in ""Julius Caesar"")"
AFOFL,"Samuel Gompers's org., informally"
AFOG,In ___ (dazed)
AFOOL,Make ___ of
AFOOT,Underway
AFOR,Get an ___ effort
AFORE,"Previously, to poets"
AFOUL,Run ___ of
AFR,It?Æs south of Eur.
AFRIC,Pertaining to the second-largest continent
AFRO,___-Asiatic
AFROS,Bushes rarely seen nowadays
AFT,Back at sea?
AFTA,Old Spice alternative
AFTER,In pursuit of
AFTON,"""Flow gently, sweet ___ ..."": Burns"
AFTRA,Broadcast workers' union
AFTS,Siesta times: Abbr.
AFUSE,Words with light or blow
AFUSS,"""Don't make such ___!"""
AGA,Princess Yasmin ___ Khan
AGAG,"Magistrate in Dryden's ""Absalom and Achitophel"""
AGAIN,"""Not you ___!"""
AGAL,"""I got ___ in Kalamazoo"""
AGAMA,Color-changing lizard
AGAME,"Best competitive effort, informally"
AGANA,"Guam's capital, old-style"
AGAPE,With mouth wide open
AGAR,Seaweed extract
AGARN,"""F Troop"" corporal"
AGARS,Food stabilizers
AGAS,Ottoman chiefs
AGASP,Stunned
AGATE,5 1/2-point
AGAVE,Tequila plant
AGAZE,Staring
AGCY,Part of 16-Across: Abbr.
AGE,Yellow in a way
AGED,Put in for extra time?
AGEE,Miracle Mets player Tommie
AGEES,Writer James and others
AGENA,Booster
AGENT,Word with free or double
AGEOF,Words with Reason or Aquarius
AGER,"Worrying, for one"
AGERS,Golden ___
AGES,It's a long time
AGFA,Alternative to Kodak or Fuji
AGGIE,Texas A & M student
AGGRO,"Annoyance, in British slang"
AGHA,Eastern pooh-bah
AGHAS,Ottoman officers
AGILE,Quick
AGIN,"Averse to, in dialect"
AGING,No longer young
AGIO,Exchange premium
AGIRL,"End of song titles starting ""About"" and ""I Kissed"""
AGITA,Gut reaction?
AGLET,Lace's end
AGLEY,"Errant, to Burns"
AGLOW,Burning
AGN,Once more: Abbr.
AGNES,"___ Scott College, one of the Seven Sisters of the South"
AGNEW,Nixon Veep
AGNI,Latin lambs
AGNUS,"Sacred lamb, from the Latin"
AGO,Have ___ at
AGOB,Oodles
AGOD,"""This man is now become ___"":""Julius Caesar"""
AGOG,In a state of 10-Down
AGOGO,Like some 60's dancers
AGON,Stravinsky ballet
AGONY,"Song from Sondheim's ""Into the Woods"""
AGOOD,"""Ha! That's ___ one!"""
AGORA,Ancient marketplace
AGR,Farmer's field: Abbr.
AGRA,Taj Mahal locale
AGREE,"Have the same tense, e.g."
AGRI,"Commercial lead-in to Bank, in many Midwest states"
AGRIN,Smiling
AGRIP,"""Get ___!"""
AGRO,Prefix with industry
AGS,D.O.J. heads
AGT,F.B.I. employee: Abbr.
AGTS,Some people with sports M.B.A.'s: Abbr.
AGUA,"H2O, south of the border"
AGUAS,Mexican waters
AGUE,Fit of fever
AGUES,Malaria symptoms
AGUN,Have ___ to one's head
AGUT,Bust ___
AGUY,"""___ walks into a bar ?à"""
AHA,"""That's it!"""
AHAB,Pequod skipper
AHAIR,Win by ___
AHALF,Time and ___
AHALT,Call ___ to (stop)
AHAND,Some help
AHARD,"Arthur Ashe's ""___ Road to Glory"""
AHAS,Cries of discovery
AHAT,"Answer to the old riddle ""What lies flat when empty, sits up when full?"""
AHEAD,Up
AHEAP,___ o' livin'
AHEM,Faux cough
AHEMS,Cries for attention
AHERO,"""Don't try to be ___"""
AHH,Sound of contentment
AHI,Tuna at sushi bars
AHIGH,On ___ (exulting)
AHIKE,Take ___ (scram)
AHILL,___ of beans
AHINT,"""I can take ___!"""
AHIT,"""We want ___!"" (stadium cheer)"
AHL,Calder Cup rink org.
AHMAD,Jamal of jazz
AHME,[sigh]
AHMED,"Riz ___, Emmy winner for 2016's ""The Night Of"""
AHMET,Record producer Ertegun in the Rock and Roll Hall of Fame
AHN,Philip with a Hollywood star
AHOK,"""Well, I guess so"""
AHOLD,Get ___ of
AHOLE,Have ___ in one's head
AHOME,Hit ___ run
AHOOT,"""What ___!"" (""Hilarious!"")"
AHORA,"Now, en espanol"
AHOST,Lots (of)
AHOT,"16-Across's ""Cat on ___Tin Roof"""
AHOY,Ship-to-shore line?
AHOYS,Mates' cries
AHS,Exclamations of understanding
AHSIN,Bret Harte/Mark Twain collaboration
AHSO,Faux Japanese reply
AHUM,Buzzing
AHYES,"""Now I remember!"""
AID,Lend a hand
AIDA,Hit musical with music by Elton John
AIDAN,Actor Quinn
AIDE,Congress person
AIDED,Helped
AIDER,Support person
AIDES,Embassy workers
AIDS,Facilitates
AIG,Bailed-out insurance giant
AIKEN,Pulitzer Prize-winning poet Conrad
AIL,Feel bad
AILED,Was laid up
AILES,Media whiz Roger
AILEY,Choreographer Alvin
AILS,Is sick
AIM,"Order between ""ready"" and ""fire"""
AIMAT,Target
AIME,"""Je t'___"" (""I love you,"" in French)"
AIMED,Readied the bow
AIMEE,"Actress Anouk of ""La Dolce Vita"""
AIMER,"Archer, at times"
AIMS,List for the forward-thinking
AIMTO,"""We ___ please"""
AIN,French river or department
AINGE,Danny of the N.B.A.
AINT,"""___ Nobody"" (1983 Chaka Khan hit)"
AINTI,"""___ a stinker?"" (Bugs Bunny catchphrase)"
AINU,Japanese aborigine
AIOLI,Bouillabaisse go-with
AIR,Put on
AIRE,Yorkshire river
AIRED,Was on
AIRER,Broadcaster
AIRES,Buenos ___
AIRS,Put on ___ (act snooty)
AIRTO,___-ground missile
AIRY,Full of breezes
AIS,"""___ for Alibi"""
AISHA,"Host Tyler of ""Whose Line Is It Anyway?"""
AISLE,Bridal walkway
AISNE,River to the Oise
AIT,Spot in a river
AITCH,It's silent in honor
AITS,British isles
AIWA,Audio equipment brand
AIX,City where Cezanne was born
AJA,Steely Dan album of 1977
AJAM,"Stuck, after ""in"""
AJAR,Not fully closed
AJAX,Sophocles tragedy
AJET,"""Leaving on ___ Plane"""
AJIG,Doing ___ (dancing springily)
AJOB,Do ___ on (work over)
AJOKE,"""What___!"""
AKA,Letters before a pseudonym
AKBAR,"""Allahu ___"" (Iraqi flag phrase)"
AKC,Huskies' org.
AKEE,Tropical tree
AKEEM,"Eddie Murphy's role in ""Coming to America"""
AKELA,Cubs' leader
AKERS,Women's soccer star Michelle
AKEY,"Caps Lock neighbor, on a computer"
AKILL,"James Bond's ""A View to ___"""
AKIM,"""The Vulture"" star Tamiroff"
AKIN,Closely related
AKIND,Three of ___
AKINS,Sheriff Lobo portrayer
AKIO,Sony founder Morita
AKIRA,Filmmaker Kurosawa
AKISS,"""Sealed With ___"""
AKITA,Japanese dog breed
AKITE,See 35-Across
AKON,"""I Wanna Love You"" singer, 2006"
AKRON,City known for rubber products
AKU,"When doubled, a Thor Heyerdahl book"
ALA,Chicken ___ king
ALACK,Shakespearean lament
ALAD,"""___-in His Lamp"" (Bugs Bunny classic)"
ALAE,Wings: Lat.
ALAI,Jai ___
ALAIN,French actor Delon
ALALA,Brown-tinged Hawaiian crow
ALAMB,Gentle as ___
ALAMO,"Place to ""remember"""
ALAN,Broadway's ___ Jay Lerner
ALANA,Singer/songwriter Davis
ALAND,"""___ flowing with milk and honey"" (Canaan, in the Bible)"
ALANS,Mathematician Turing and others
ALAP,"""Take ___!"" (track coach's order)"
ALAR,Winged
ALARM,Car buyer's option
ALAS,Wistful remark
ALASS,"""Amo, amas, I love ___"""
ALAST,As ___ resort
ALATE,Winged
ALAW,"""There oughta be ___!"""
ALB,Priest's robe
ALBA,Duchess of ___ (Goya subject)
ALBAN,"""Wozzeck"" composer ___ Berg"
ALBAS,Troubadours' dawn serenades
ALBEE,"""The Sandbox"" playwright"
ALBEN,Harry's Veep
ALBOM,"Mitch who wrote the best seller ""The Five People You Meet in Heaven"""
ALBS,Priests' vestments
ALBUM,Collection of songs
ALC,Wine label abbr.
ALCAN,"Northern highway, formerly"
ALCEE,Florida Rep. ___ Hastings
ALCOA,"Dow Jones industrial with the N.Y.S.E. symbol ""AA"""
ALCS,Oct. pennant race
ALD,City council representative: Abbr.
ALDA,Pierce player
ALDAS,Actors Robert and Alan
ALDEN,John on the Mayflower
ALDER,Tree with catkins
ALDO,Gucci of fashion
ALE,"Draft, maybe"
ALEA,Greek goddess Athena ___
ALEAD,Follow ___ (sleuth)
ALEAF,Shake like ___
ALEAK,Spring ___
ALEAN,"""... ___ and hungry look"": Shak."
ALEC,One of the Waughs
ALECK,Smart one
ALECS,Smart ___
ALEE,Nautically protected
ALEF,A as in Absalom
ALEG,"""Shake ___!"""
ALEK,Supermodel Wek
ALEN,Chrysler Building architect William Van ___
ALENE,"Coeur d'___, Idaho"
ALEPH,First Hebrew letter
ALER,Yank or Tiger
ALERO,Olds model
ALERS,Yanks and others
ALERT,On one's toes
ALES,Servings from a tap
ALETA,Queen in a long-running comic strip
ALEUT,Traditional whale hunter
ALEVE,Drug whose generic name is naproxen
ALEX,"""A Clockwork Orange"" narrator"
ALEXA,One given orders around the house
ALEXI,'90s soccer great Lalas
ALF,Furry extraterrestrial in a 1980s sitcom
ALFA,Soviet nuclear-powered submarine
ALFAS,"Italian luxury cars, familiarly"
ALFIE,1966 movie playboy
ALFIO,"""Cavalleria Rusticana"" baritone"
ALFRE,Actress Woodard
ALFS,Melmac alien et al.
ALG,H.S. subject
ALGA,"Stonewort, e.g."
ALGAE,Pond cover
ALGAL,Like some pond growths
ALGER,"""Tattered Tom"" author"
ALGIA,Pain: Suffix
ALGID,Chilly
ALGOL,Star in Perseus
ALI,Onetime ring master
ALIA,Inter ___
ALIAR,"""Are you calling me ___?"""
ALIAS,Also called
ALIBI,Out
ALICE,"""Tiny"" Albee character"
ALICK,Not ___ (none)
ALID,"""Put ___ on it!"""
ALIDA,1940's-90's actress Valli
ALIE,"""I cannot tell ___"""
ALIEN,Otherworldly
ALIF,Ba preceder
ALIFE,"""Get ___!"" (90's catch phrase)"
ALIFT,"""Need ___?"" (query to hitchhikers)"
ALIG,TV persona giving prank interviews
ALIGN,Even
ALII,"Others, when listing"
ALIKE,Correspondingly
ALIMB,Out on ___
ALINE,Dress with a flare
ALION,"""March comes in like ___ ..."""
ALIS,Some Muslim men
ALIST,Most-wanted invitees
ALIT,"De-bused, e.g."
ALITO,Justice Samuel
ALIVE,Full of energy
ALIX,"""The Adventures of ___"" (European comics series)"
ALK,Litmus bluer: Abbr.
ALKA,___-Seltzer
ALKIE,"DTs sufferer, for short"
ALKYL,Hydrocarbon group
ALL,Tie indicator
ALLA,___ breve
ALLAH,Muezzin's God
ALLAN,Comedian Sherman
ALLAT,___ once
ALLAY,Quiet
ALLBE,"""Let's ___ There"" (1980's NBC slogan)"
ALLE,"Everybody, to Erich"
ALLEE,Tree-lined walk
ALLEN,"Paul ___, Microsoft co-founder"
ALLES,Uber ___ (above everything: Ger.)
ALLEY,It has pins at one end
ALLI,"""For___know..."""
ALLIE,Half of a 1980s sitcom duo
ALLIN,Tuckered out
ALLIS,___ Chalmers (old tractor company)
ALLO,Gallic greeting
ALLOF,"""___ the other reindeer ..."""
ALLOK,"""No problem here"""
ALLOR,___ nothing
ALLOT,Divide up
ALLOW,Permit
ALLOY,"Bronze, e.g."
ALLS,"""___ Well That Ends Well"""
ALLTO,___ the good
ALLUP,With no hope left
ALLY,Partner in battle
ALLYE,"""Abandon hope ___ ..."""
ALMA,Michigan college or its town
ALMAS,Actress Kruger and others
ALMAY,Maybelline rival
ALMS,Donations to the needy
ALO,Havana greeting
ALOAD,Get ___ of
ALOAF,"""Half ___ is better ..."""
ALOAN,Apply for ___ (seek assistance)
ALOE,Soother
ALOES,Skin cream additives
ALOFT,Among the clouds
ALOG,Sleep like ___
ALOHA,Hi from Ho
ALOIS,Dr. Alzheimer
ALONE,Isolated
ALONG,In the course of
ALOOF,Standoffish
ALOOK,"""Take ___ at this!"""
ALOON,Crazy as ___
ALOOP,Something one can be knocked for
ALOP,Unbalanced
ALORS,Then: Fr.
ALOSS,Thrown for ___
ALOST,"""___ Lady"" (Willa Cather novel)"
ALOT,Very much
ALOU,Jesus on the field
ALOUD,Not silently
ALOUS,Baseball family of note
ALOVE,"""___ Supreme"" (classic Coltrane jazz album)"
ALOW,"In the hold, nautically"
ALP,Swiss peak
ALPE,"L'Eiger, e.g."
ALPEN,Intro for stock or horn
ALPES,Mont Blanc and others
ALPH,"River running ""down to a sunless sea,"" in ""Kubla Khan"""
ALPHA,Kind of star
ALPO,Dog food brand
ALPS,Range of the von Trapp singers
ALS,Capp and Gore
ALSAB,1942 Preakness winner
ALSO,Plus
ALSOP,Journalist Stewart
ALT,Flight no.?
ALTA,Neighbor of Mont.
ALTAI,Asia's ___ Mountains
ALTAR,Vow venue
ALTE,"Der ___ (German ""father"")"
ALTER,"Let out, perhaps"
ALTHO,"Notwithstanding that, in short"
ALTI,Some chorus voices
ALTO,Part of the range that's widely accessible?
ALTON,TV foodie Brown
ALTOS,"Los ___, Calif."
ALTS,Mtn. stats
ALUG,Chug follower
ALUI,His: Fr.
ALULA,"""Be-Bop-___"" (Gene Vincent hit)"
ALULL,In ___ (quiet)
ALUM,Many a college interviewer
ALUMS,"Homecoming attendees, for short"
ALVA,Middle name of the inventor of the electrographic vote recorder
ALVIN,"Name shouted in ""The Chipmunk Song"""
ALVY,"Woody's ""Annie Hall"" role"
ALY,Prince ___ Khan
ALYCE,One of the King Sisters
ALYN,"Kirk ___, first actor to play Superman on the big screen"
AMA,Caregivers' org.
AMAD,In ___ rush
AMADO,Brazilian writer Jorge
AMAH,Indian nursemaid
AMAHL,Boy in a Menotti title
AMAHS,Cantonese caregivers
AMAID,"""The way of a man with ___"": Proverbs"
AMAIN,With full force
AMAJ,Setting of Mozart's only clarinet concerto: Abbr.
AMAL,"___ Clooney, lawyer often seen in tabloids"
AMALE,"""I Was ___ War Bride"""
AMAN,Make ___ of
AMANA,Frigidaire competitor
AMAP,"""Want me to draw you ___?"""
AMARE,"To love, in Torino"
AMARO,Italian herbal liqueur
AMAS,Latin 101 word
AMASS,Gather
AMAT,Part of a Latin 101 conjugation
AMATE,"""___ should keep himself to himself"": ""Treasure Island"""
AMATI,Classic violinmaker
AMATO,Operatic baritone Pasquale ___
AMAZE,Wow
AMB,Diplomat: Abbr.
